date,values,variable,senario,metric
2037-07-19,33.960987,TSA,cntl,vhds
2037-07-20,33.84155,TSA,cntl,vhds
2037-07-21,33.478306,TSA,cntl,vhds
2037-07-22,33.728756,TSA,cntl,vhds
2037-07-23,34.31653,TSA,cntl,vhds
2037-07-24,34.133007,TSA,cntl,vhds
2037-07-25,33.77802,TSA,cntl,vhds
2037-07-26,33.39822,TSA,cntl,vhds
2037-07-27,33.986378,TSA,cntl,vhds
2037-07-28,33.94784,TSA,cntl,vhds
2037-07-29,34.49728,TSA,cntl,vhds
2037-07-30,34.84881,TSA,cntl,vhds
2037-07-31,33.97676,TSA,cntl,vhds
2037-08-01,33.866123,TSA,cntl,vhds
2037-08-02,34.25509,TSA,cntl,vhds
2037-08-03,34.11688,TSA,cntl,vhds
2037-08-04,34.31611,TSA,cntl,vhds
2037-08-05,34.153877,TSA,cntl,vhds
2037-08-06,34.633812,TSA,cntl,vhds
2037-08-07,34.349724,TSA,cntl,vhds
2037-08-08,33.898308,TSA,cntl,vhds
2037-08-09,33.656506,TSA,cntl,vhds
2037-08-10,34.44025,TSA,cntl,vhds
2037-08-11,33.819855,TSA,cntl,vhds
2037-08-12,33.8144,TSA,cntl,vhds
2037-08-13,33.922043,TSA,cntl,vhds
2037-08-14,33.77033,TSA,cntl,vhds
2037-08-15,33.62136,TSA,cntl,vhds
2037-08-16,33.99393,TSA,cntl,vhds
2037-08-17,33.825966,TSA,cntl,vhds
2037-08-18,34.28935,TSA,cntl,vhds
2037-08-19,33.466434,TSA,cntl,vhds
2037-08-20,33.169556,TSA,cntl,vhds
2037-08-23,33.079395,TSA,cntl,vhds
2037-08-25,34.74404,TSA,cntl,vhds
2037-08-28,33.634327,TSA,cntl,vhds
2037-09-03,33.17989,TSA,cntl,vhds
2037-09-04,33.32271,TSA,cntl,vhds
2037-09-05,33.665974,TSA,cntl,vhds
2037-09-06,34.690205,TSA,cntl,vhds
2037-09-10,34.069878,TSA,cntl,vhds
2037-09-11,33.022472,TSA,cntl,vhds
2037-09-12,33.982075,TSA,cntl,vhds
2037-09-14,33.586746,TSA,cntl,vhds
2037-09-15,33.1667,TSA,cntl,vhds
2038-04-21,33.078316,TSA,cntl,vhds
2038-06-18,33.155464,TSA,cntl,vhds
2038-06-23,33.226463,TSA,cntl,vhds
2038-06-24,33.801487,TSA,cntl,vhds
2038-06-25,33.729237,TSA,cntl,vhds
2038-06-26,33.781567,TSA,cntl,vhds
2038-06-27,33.474167,TSA,cntl,vhds
2038-06-28,33.608837,TSA,cntl,vhds
2038-06-29,33.327084,TSA,cntl,vhds
2038-06-30,33.70815,TSA,cntl,vhds
2038-07-01,33.681335,TSA,cntl,vhds
2038-07-02,33.56939,TSA,cntl,vhds
2038-07-03,34.343887,TSA,cntl,vhds
2038-07-04,34.231262,TSA,cntl,vhds
2038-07-05,33.61762,TSA,cntl,vhds
2038-07-07,33.268803,TSA,cntl,vhds
2038-07-08,33.631596,TSA,cntl,vhds
2038-07-09,33.689926,TSA,cntl,vhds
2038-07-10,33.700085,TSA,cntl,vhds
2038-07-11,33.80584,TSA,cntl,vhds
2038-07-12,33.517242,TSA,cntl,vhds
2038-07-13,33.28519,TSA,cntl,vhds
2038-07-14,33.13899,TSA,cntl,vhds
2038-07-15,33.900066,TSA,cntl,vhds
2038-07-16,35.013767,TSA,cntl,vhds
2038-07-17,34.794163,TSA,cntl,vhds
2038-07-19,34.273537,TSA,cntl,vhds
2038-07-20,34.31854,TSA,cntl,vhds
2038-07-22,33.597282,TSA,cntl,vhds
2038-07-26,33.59986,TSA,cntl,vhds
2038-07-27,33.920975,TSA,cntl,vhds
2038-07-28,34.048897,TSA,cntl,vhds
2038-07-30,34.10847,TSA,cntl,vhds
2038-07-31,34.366234,TSA,cntl,vhds
2038-08-01,35.03446,TSA,cntl,vhds
2038-08-02,34.849495,TSA,cntl,vhds
2038-08-03,34.891552,TSA,cntl,vhds
2038-08-04,34.74318,TSA,cntl,vhds
2038-08-05,34.92788,TSA,cntl,vhds
2038-08-06,33.963123,TSA,cntl,vhds
2038-08-07,34.483234,TSA,cntl,vhds
2038-08-08,34.929726,TSA,cntl,vhds
2038-08-09,34.538994,TSA,cntl,vhds
2038-08-10,35.10857,TSA,cntl,vhds
2038-08-11,36.007484,TSA,cntl,vhds
2038-08-12,36.28882,TSA,cntl,vhds
2038-08-13,35.573284,TSA,cntl,vhds
2038-08-14,35.36792,TSA,cntl,vhds
2038-08-16,37.571083,TSA,cntl,vhds
2038-08-17,37.80381,TSA,cntl,vhds
2038-08-18,35.951897,TSA,cntl,vhds
2038-08-19,34.971493,TSA,cntl,vhds
2038-08-20,34.990208,TSA,cntl,vhds
2038-08-21,34.466633,TSA,cntl,vhds
2038-08-22,34.42288,TSA,cntl,vhds
2038-08-24,35.31099,TSA,cntl,vhds
2038-08-25,36.23094,TSA,cntl,vhds
2038-08-26,35.503086,TSA,cntl,vhds
2038-08-28,34.664867,TSA,cntl,vhds
2038-08-29,34.007725,TSA,cntl,vhds
2038-08-30,34.779903,TSA,cntl,vhds
2038-08-31,34.801414,TSA,cntl,vhds
2038-09-02,34.063713,TSA,cntl,vhds
2038-09-04,33.050144,TSA,cntl,vhds
2038-09-06,33.090603,TSA,cntl,vhds
2038-09-08,33.474865,TSA,cntl,vhds
2038-09-18,33.160213,TSA,cntl,vhds
2038-10-02,34.14384,TSA,cntl,vhds
2038-10-03,34.852585,TSA,cntl,vhds
2038-10-04,34.680134,TSA,cntl,vhds
2038-10-13,33.452732,TSA,cntl,vhds
2039-05-15,33.29743,TSA,cntl,vhds
2039-05-16,33.56065,TSA,cntl,vhds
2039-05-25,33.04093,TSA,cntl,vhds
2039-05-26,33.02416,TSA,cntl,vhds
2039-05-27,33.082256,TSA,cntl,vhds
2039-06-03,33.112488,TSA,cntl,vhds
2039-06-06,35.25529,TSA,cntl,vhds
2039-06-07,33.123802,TSA,cntl,vhds
2039-06-09,33.333115,TSA,cntl,vhds
2039-06-17,33.304237,TSA,cntl,vhds
2039-06-18,33.387264,TSA,cntl,vhds
2039-06-22,33.770226,TSA,cntl,vhds
2039-06-23,33.557087,TSA,cntl,vhds
2039-06-27,33.022205,TSA,cntl,vhds
2039-06-29,33.190685,TSA,cntl,vhds
2039-06-30,33.799694,TSA,cntl,vhds
2039-07-01,33.861378,TSA,cntl,vhds
2039-07-02,34.093937,TSA,cntl,vhds
2039-07-03,33.829147,TSA,cntl,vhds
2039-07-04,34.240807,TSA,cntl,vhds
2039-07-05,34.59825,TSA,cntl,vhds
2039-07-06,35.839737,TSA,cntl,vhds
2039-07-07,34.826164,TSA,cntl,vhds
2039-07-09,33.14311,TSA,cntl,vhds
2039-07-11,33.689114,TSA,cntl,vhds
2039-07-12,33.910404,TSA,cntl,vhds
2039-07-13,33.10456,TSA,cntl,vhds
2039-07-14,33.919914,TSA,cntl,vhds
2039-07-15,34.319637,TSA,cntl,vhds
2039-07-16,34.13624,TSA,cntl,vhds
2039-07-17,34.122486,TSA,cntl,vhds
2039-07-18,33.99125,TSA,cntl,vhds
2039-07-19,33.51273,TSA,cntl,vhds
2039-07-20,33.864315,TSA,cntl,vhds
2039-07-21,34.93219,TSA,cntl,vhds
2039-07-23,33.197124,TSA,cntl,vhds
2039-07-24,33.06968,TSA,cntl,vhds
2039-07-25,33.448505,TSA,cntl,vhds
2039-07-28,33.068985,TSA,cntl,vhds
2039-07-30,33.005516,TSA,cntl,vhds
2039-08-04,33.83677,TSA,cntl,vhds
2039-08-05,33.91432,TSA,cntl,vhds
2039-08-06,34.07812,TSA,cntl,vhds
2039-08-07,34.464,TSA,cntl,vhds
2039-08-08,34.87128,TSA,cntl,vhds
2039-08-09,33.882687,TSA,cntl,vhds
2039-08-11,33.3438,TSA,cntl,vhds
2039-08-12,34.23128,TSA,cntl,vhds
2039-08-13,34.73682,TSA,cntl,vhds
2039-08-14,34.752033,TSA,cntl,vhds
2039-08-15,35.100163,TSA,cntl,vhds
2039-08-16,34.741684,TSA,cntl,vhds
2039-08-17,35.64451,TSA,cntl,vhds
2039-08-18,35.176537,TSA,cntl,vhds
2039-08-19,34.46782,TSA,cntl,vhds
2039-08-20,34.696056,TSA,cntl,vhds
2039-08-21,33.99743,TSA,cntl,vhds
2039-08-22,33.578453,TSA,cntl,vhds
2039-08-23,33.008965,TSA,cntl,vhds
2039-08-24,33.929325,TSA,cntl,vhds
2039-08-25,34.605835,TSA,cntl,vhds
2039-08-26,34.67987,TSA,cntl,vhds
2039-08-27,35.481094,TSA,cntl,vhds
2039-08-28,34.635426,TSA,cntl,vhds
2039-08-29,34.278557,TSA,cntl,vhds
2039-08-30,33.0343,TSA,cntl,vhds
2039-08-31,34.178707,TSA,cntl,vhds
2039-09-01,33.960876,TSA,cntl,vhds
2039-09-02,33.573994,TSA,cntl,vhds
2039-09-08,33.147846,TSA,cntl,vhds
2039-09-09,33.60153,TSA,cntl,vhds
2039-09-10,33.242226,TSA,cntl,vhds
2039-09-11,34.046272,TSA,cntl,vhds
2039-09-12,33.5072,TSA,cntl,vhds
2039-09-14,33.370335,TSA,cntl,vhds
2039-09-15,33.527897,TSA,cntl,vhds
2039-09-17,35.705616,TSA,cntl,vhds
2039-09-18,36.059715,TSA,cntl,vhds
2039-09-19,34.679707,TSA,cntl,vhds
2035-04-23,33.074193826743425,TSA_U,cntl,vhds
2035-05-11,33.29145951525285,TSA_U,cntl,vhds
2035-05-12,33.41744677244742,TSA_U,cntl,vhds
2035-05-13,33.79382864383421,TSA_U,cntl,vhds
2035-05-17,34.738016397146666,TSA_U,cntl,vhds
2035-05-18,34.51288437217262,TSA_U,cntl,vhds
2035-05-19,33.568849548956244,TSA_U,cntl,vhds
2035-05-21,34.03916651154528,TSA_U,cntl,vhds
2035-05-24,33.74201832973025,TSA_U,cntl,vhds
2035-05-26,33.77547858559252,TSA_U,cntl,vhds
2035-05-27,33.088904007735955,TSA_U,cntl,vhds
2035-05-28,34.61185137195049,TSA_U,cntl,vhds
2035-05-29,34.8893309188408,TSA_U,cntl,vhds
2035-05-30,35.51997936085338,TSA_U,cntl,vhds
2035-05-31,35.2520982082721,TSA_U,cntl,vhds
2035-06-01,34.88652922590152,TSA_U,cntl,vhds
2035-06-02,35.052560117675334,TSA_U,cntl,vhds
2035-06-03,35.48272992954178,TSA_U,cntl,vhds
2035-06-04,34.77317721701663,TSA_U,cntl,vhds
2035-06-05,34.94312600424313,TSA_U,cntl,vhds
2035-06-06,35.04434654838848,TSA_U,cntl,vhds
2035-06-07,35.550432236186154,TSA_U,cntl,vhds
2035-06-08,35.75533241216144,TSA_U,cntl,vhds
2035-06-09,36.22868651971228,TSA_U,cntl,vhds
2035-06-10,35.61641545409431,TSA_U,cntl,vhds
2035-06-11,35.60712117787824,TSA_U,cntl,vhds
2035-06-12,35.56005149614501,TSA_U,cntl,vhds
2035-06-13,35.413109566662136,TSA_U,cntl,vhds
2035-06-14,35.75614627976427,TSA_U,cntl,vhds
2035-06-15,35.91472231462841,TSA_U,cntl,vhds
2035-06-16,35.630495674980985,TSA_U,cntl,vhds
2035-06-17,35.48593418705581,TSA_U,cntl,vhds
2035-06-18,36.0665717703659,TSA_U,cntl,vhds
2035-06-19,36.13040981782482,TSA_U,cntl,vhds
2035-06-20,36.170021200953045,TSA_U,cntl,vhds
2035-06-21,36.28481525156888,TSA_U,cntl,vhds
2035-06-22,35.728350205148104,TSA_U,cntl,vhds
2035-06-23,36.13464987201113,TSA_U,cntl,vhds
2035-06-24,36.03878500324303,TSA_U,cntl,vhds
2035-06-25,37.20580428167487,TSA_U,cntl,vhds
2035-06-26,35.96037845025678,TSA_U,cntl,vhds
2035-06-27,35.154342392393694,TSA_U,cntl,vhds
2035-06-28,35.58588054171208,TSA_U,cntl,vhds
2035-06-29,35.590728805378994,TSA_U,cntl,vhds
2035-06-30,35.93593051124622,TSA_U,cntl,vhds
2035-07-01,34.549155759716754,TSA_U,cntl,vhds
2035-07-02,34.45992058044994,TSA_U,cntl,vhds
2035-07-03,34.9698956338992,TSA_U,cntl,vhds
2035-07-04,35.25876962424853,TSA_U,cntl,vhds
2035-07-05,36.420030013025,TSA_U,cntl,vhds
2035-07-06,36.169303580049736,TSA_U,cntl,vhds
2035-07-07,35.178831980455904,TSA_U,cntl,vhds
2035-07-08,35.324107416574016,TSA_U,cntl,vhds
2035-07-09,35.721183176468834,TSA_U,cntl,vhds
2035-07-10,35.851102449755274,TSA_U,cntl,vhds
2035-07-11,36.5199054396433,TSA_U,cntl,vhds
2035-07-12,35.809749646458094,TSA_U,cntl,vhds
2035-07-13,38.90897346659262,TSA_U,cntl,vhds
2035-07-14,35.97983236568716,TSA_U,cntl,vhds
2035-07-15,36.23556201455592,TSA_U,cntl,vhds
2035-07-16,35.34959728459292,TSA_U,cntl,vhds
2035-07-18,34.41768405505094,TSA_U,cntl,vhds
2035-07-19,33.520984321149314,TSA_U,cntl,vhds
2035-07-21,33.39561272756953,TSA_U,cntl,vhds
2035-07-22,34.75384542042838,TSA_U,cntl,vhds
2035-07-24,34.52448737154844,TSA_U,cntl,vhds
2035-07-25,34.76759354547129,TSA_U,cntl,vhds
2035-07-26,34.40022381366855,TSA_U,cntl,vhds
2035-07-27,35.02112722622219,TSA_U,cntl,vhds
2035-07-28,35.48238776517315,TSA_U,cntl,vhds
2035-07-29,34.49155848582564,TSA_U,cntl,vhds
2035-07-30,35.176351378089535,TSA_U,cntl,vhds
2035-07-31,35.80834254405279,TSA_U,cntl,vhds
2035-08-01,34.62676695717414,TSA_U,cntl,vhds
2035-08-02,35.56686073057074,TSA_U,cntl,vhds
2035-08-03,35.98916223504062,TSA_U,cntl,vhds
2035-08-04,35.68089971206085,TSA_U,cntl,vhds
2035-08-05,34.85997796636104,TSA_U,cntl,vhds
2035-08-06,33.9292237654724,TSA_U,cntl,vhds
2035-08-07,34.476314795130065,TSA_U,cntl,vhds
2035-08-08,34.17436118835495,TSA_U,cntl,vhds
2035-08-09,34.118745859209234,TSA_U,cntl,vhds
2035-08-10,35.53720634153736,TSA_U,cntl,vhds
2035-08-11,35.61905833803494,TSA_U,cntl,vhds
2035-08-12,35.88221655493572,TSA_U,cntl,vhds
2035-08-13,35.857045030877494,TSA_U,cntl,vhds
2035-08-14,36.15083301428594,TSA_U,cntl,vhds
2035-08-15,36.91132066025085,TSA_U,cntl,vhds
2035-08-16,37.0886234253116,TSA_U,cntl,vhds
2035-08-17,35.46478123092771,TSA_U,cntl,vhds
2035-08-21,34.32314908900139,TSA_U,cntl,vhds
2035-08-22,34.811480312046044,TSA_U,cntl,vhds
2035-08-23,33.834200328592765,TSA_U,cntl,vhds
2035-08-24,34.14123795880579,TSA_U,cntl,vhds
2035-08-25,34.671948596518725,TSA_U,cntl,vhds
2035-08-26,34.33839517651298,TSA_U,cntl,vhds
2035-08-27,34.87411556913897,TSA_U,cntl,vhds
2035-08-28,34.6148079522487,TSA_U,cntl,vhds
2035-08-29,34.23500003617113,TSA_U,cntl,vhds
2035-08-30,34.90198961647202,TSA_U,cntl,vhds
2035-08-31,34.56700779472168,TSA_U,cntl,vhds
2035-09-01,34.98268261361976,TSA_U,cntl,vhds
2035-09-02,33.661256294870704,TSA_U,cntl,vhds
2035-09-03,34.295675490066834,TSA_U,cntl,vhds
2035-09-04,34.01383434799663,TSA_U,cntl,vhds
2035-09-06,33.65420309962238,TSA_U,cntl,vhds
2035-09-07,34.46957437562134,TSA_U,cntl,vhds
2035-09-08,35.18297589724778,TSA_U,cntl,vhds
2035-09-09,33.63641855472772,TSA_U,cntl,vhds
2035-09-11,33.78816904332711,TSA_U,cntl,vhds
2035-09-12,33.18494494354909,TSA_U,cntl,vhds
2035-09-13,33.96356179493392,TSA_U,cntl,vhds
2035-09-14,33.9409557145709,TSA_U,cntl,vhds
2035-09-15,34.17426569521822,TSA_U,cntl,vhds
2035-09-16,33.764080592575546,TSA_U,cntl,vhds
2035-09-17,34.10014027895498,TSA_U,cntl,vhds
2035-09-18,33.97596071499494,TSA_U,cntl,vhds
2035-09-19,34.36424792774008,TSA_U,cntl,vhds
2035-09-20,33.56231073726565,TSA_U,cntl,vhds
2035-09-21,34.606396449962745,TSA_U,cntl,vhds
2035-09-22,34.15554363091425,TSA_U,cntl,vhds
2035-09-23,34.91221521767098,TSA_U,cntl,vhds
2035-09-24,34.73869071760094,TSA_U,cntl,vhds
2035-09-25,33.9076757837917,TSA_U,cntl,vhds
2035-09-26,34.7043180559593,TSA_U,cntl,vhds
