time,HUMIDEX_U,SWBGT_U,HIA_U
2038-11-07 06:00:00,26.094486436440278,22.598047226720098,26.087904394285925
2038-11-08 06:00:00,23.598506983203837,21.05376870666741,25.184021482151007
2038-11-09 06:00:00,24.567087495861472,21.819554751652273,25.34362366201702
2038-11-10 06:00:00,24.108236860218472,21.424158007543717,25.301502437940126
2038-11-11 06:00:00,25.223203042575026,22.018437768806812,25.841635465866048
2038-11-12 06:00:00,29.676384277400434,24.887019407616545,27.506000364416582
2038-11-13 06:00:00,28.470900412199263,24.116507755244612,26.975340900782506
2038-11-14 06:00:00,29.098083239570393,24.71789885260163,26.725087572113402
2038-11-15 06:00:00,26.45274428633995,23.199541908040285,25.483218999453417
2038-11-16 06:00:00,33.89153197092518,27.704490511965176,29.548531993237464
2038-11-17 06:00:00,34.33816295011004,27.823959518019556,30.332474851470494
2038-11-18 06:00:00,33.714623053652744,27.428203005293554,29.916784669428782
2038-11-19 06:00:00,31.232843468916553,25.824633543280733,28.460656404759415
2038-11-20 06:00:00,31.11463408455473,25.88067760203879,28.002956051361885
2038-11-21 06:00:00,30.03573955283587,25.360768980327933,27.005809764432914
2038-11-22 06:00:00,27.765401888446323,23.639462809763668,26.765972662451635
2038-11-23 06:00:00,30.575632943429607,25.619877468067443,27.484690020242656
2038-11-24 06:00:00,33.97998681234548,27.71507685110971,29.738930240009445
2038-11-25 06:00:00,31.468704458950253,25.919394677352166,28.785004428746383
2038-11-26 06:00:00,20.460021914148985,19.074700895653898,24.0179919406996
2038-11-27 06:00:00,18.135505524570746,17.612446974699992,22.655171504402098
2038-11-28 06:00:00,23.28922712133429,20.98478538139417,25.11082195367659
2038-11-29 06:00:00,24.88399501974549,21.776701088886966,25.80108203081346
2038-11-30 06:00:00,25.089981650781453,21.996546295802343,25.678046886758572
2038-12-01 06:00:00,26.317156794472684,22.821772750533544,25.982260117722593
2038-12-02 06:00:00,31.07193778769816,25.958091749494333,27.697814982159738
